query	target	target_inchi	score
Tylosin	CCMSLIB00000085786	decoy	0.10749691588042774
Prometryn	CCMSLIB00000084989	decoy	0.1007239593804778
Venlafaxine	CCMSLIB00000084921	decoy	0.0944865881176777
Methylprednisolone	CCMSLIB00000004248	decoy	0.09001142483420603
Kaempferol	CCMSLIB00000080377	decoy	0.08685319917972292
DErySphingosine	CCMSLIB00000084972	decoy	0.08532981129887049
Iminostilbene	CCMSLIB00000085519	decoy	0.07841526981435382
Dimethoate	CCMSLIB00000085896	decoy	0.07570732192794509
Cinchonine	CCMSLIB00000085862	decoy	0.06908254924126758
Levamisole	CCMSLIB00000086096	decoy	0.061210198906398075
Ketoprofen	CCMSLIB00000084829	decoy	0.06051832323174443
Albuterol	CCMSLIB00000079202	decoy	0.05674374444561887
Dextromethorphan	CCMSLIB00000084759	decoy	0.04977500102306079
N,N-Didesmethylvenlafaxine	CCMSLIB00000086027	decoy	0.042393178864606786
Cilastatin	CCMSLIB00000080099	decoy	0.04100273506717929
Oseltamivir	CCMSLIB00000078526	decoy	0.04095268147831592
Mefenamic acid	CCMSLIB00000078649	decoy	0.03964820670647818
Cocaine	CCMSLIB00000085902	decoy	0.0390414230410088
Kinetin	CCMSLIB00000081272	decoy	0.03531871616150833
Atomoxetine	CCMSLIB00000084841	decoy	0.033499541238608814
Bergapten	CCMSLIB00000005191	decoy	0.033211234383984115
Verapamil	CCMSLIB00000079176	decoy	0.03297695361623649
EDDP	CCMSLIB00000078599	decoy	0.0326606892209264
Morphine	CCMSLIB00000081712	decoy	0.03205324151547266
Metamitron-desamino	CCMSLIB00000085888	decoy	0.029695225210383043
Methadone	CCMSLIB00000085568	decoy	0.027830313142086952
Bupropion	CCMSLIB00000078899	decoy	0.027131227481016516
Isoproturon	CCMSLIB00000086040	decoy	0.027021690166764548
Carbamazepine-10,11-epoxide	CCMSLIB00000078813	decoy	0.02608672920695577
Dronedarone	CCMSLIB00000078444	decoy	0.022150842871290544
Aspartame	CCMSLIB00000078403	decoy	0.020393019122557084
Phenylalanine	CCMSLIB00000085486	decoy	0.020006348377747788
Naltrexone	CCMSLIB00000078434	decoy	0.01599163111942259
Diazepam	CCMSLIB00000079136	decoy	0.015386805535585673
L-Phenylalanine	CCMSLIB00000085486	decoy	0.014593839720399033
Kresoxim-methyl	CCMSLIB00000078747	decoy	0.014368584486030444
(-)-Epicatechin	CCMSLIB00000080309	decoy	0.014111956899725882
N,O-Didesmethylvenlafaxine	CCMSLIB00000086027	decoy	0.01385946935478365
Benzisothiazolone (BIT)	CCMSLIB00000080353	decoy	0.013143800833420656
Candesartan	CCMSLIB00000078190	decoy	0.010276990990140176
Tetrahydropapaveroline	CCMSLIB00000080046	decoy	0.009869605690881309
Trinexapac	CCMSLIB00000077199	decoy	0.00962783533247248
Atrazine-desethyl	CCMSLIB00000079825	decoy	0.00884189382880882
Pethoxamide	CCMSLIB00000078145	decoy	0.0076660513614329896
Ephedrine	CCMSLIB00000085937	decoy	0.006955335624818392
Fenoxycarb	CCMSLIB00000080293	decoy	0.00590630583332147
Sulfamethoxazole	CCMSLIB00000005387	decoy	0.005773461502584485
Propachlor	CCMSLIB00000085991	decoy	0.0055358884087637426
Flonicamid	CCMSLIB00000079156	decoy	0.00480036871245673
Trans-Zeatin-riboside-[d5]	CCMSLIB00000079245	decoy	0.004735734484849238
Metolachlor	CCMSLIB00000007120	decoy	0.004479113107629986
Isoproturon-monodemethyl	CCMSLIB00000085484	decoy	0.004371008403679602
Carbamazepine	CCMSLIB00000004715	decoy	0.004286731233558694
N-Desmethylvenlafaxine	CCMSLIB00000085044	decoy	0.0038557497553524432
Norfloxacin	CCMSLIB00000078175	decoy	0.0033773489587245785
Laudanosine	CCMSLIB00000079174	decoy	0.003297991979830916
Trimipramine	CCMSLIB00000084899	decoy	0.0026584250328888915
Benzophenone-3	CCMSLIB00000085353	decoy	0.002176019412232962
O-desmethylvenlafaxine	CCMSLIB00000085044	decoy	0.0021204322887179135
3,4,5-Trimethoxycinnamic_acid	CCMSLIB00000085481	decoy	0.0013653769002197013
Flufenacet	CCMSLIB00000085993	decoy	9.69117101928933E-4
Mycophenolic acid	CCMSLIB00000085947	decoy	6.170714489522884E-4
Metsulfuron-methyl	CCMSLIB00000005556	decoy	4.5740299057003565E-4
Microcystin-LR	CCMSLIB00000071748	decoy	2.908973688542324E-4
Acetamiprid	CCMSLIB00000080397	decoy	0.0
Aminopyrine	CCMSLIB00000078610	decoy	0.0
Bezafibrate	CCMSLIB00000084955	decoy	0.0
Bisphenol A	CCMSLIB00000077055	decoy	0.0
Caffeine	CCMSLIB00000078857	decoy	0.0
Codeine	CCMSLIB00000081228	decoy	0.0
Cyanazine	CCMSLIB00000084742	decoy	0.0
Desmedipham	CCMSLIB00000080513	decoy	0.0
Diazinon	CCMSLIB00000085870	decoy	0.0
Dicamba	CCMSLIB00000079518	decoy	0.0
Flufenamic acid	CCMSLIB00000085954	decoy	0.0
4-Formylaminoantipyrine	CCMSLIB00000085274	decoy	0.0
Gabapentin	CCMSLIB00000078453	decoy	0.0
Ibuprofen	CCMSLIB00000076982	decoy	0.0
Imidacloprid	CCMSLIB00000085129	decoy	0.0
Metoclopramide	CCMSLIB00000076965	decoy	0.0
Moclobemide	CCMSLIB00000078611	decoy	0.0
Phenmedipham	CCMSLIB00000080513	decoy	0.0
3-Phenoxybenzoic acid	CCMSLIB00000085547	decoy	0.0
Propachlor OXA	CCMSLIB00000080029	decoy	0.0
Propazine	CCMSLIB00000079815	decoy	0.0
Sebuthylazine	CCMSLIB00000079815	decoy	0.0
Sulfadiazine	CCMSLIB00000004901	decoy	0.0
Sulfamethazine	CCMSLIB00000078582	decoy	0.0
Sulfapyridine	CCMSLIB00000078208	decoy	0.0
Tebutam	CCMSLIB00000085774	decoy	0.0
Terbutylazine	CCMSLIB00000079815	decoy	0.0
Tramadol	CCMSLIB00000085044	decoy	0.0
Trinexapac-ethyl	CCMSLIB00000080484	decoy	0.0
Adenosine	CCMSLIB00000084979	decoy	0.0
Apomorphine	CCMSLIB00000078706	decoy	0.0
Berberine	CCMSLIB00000085483	decoy	0.0
Bicuculline	CCMSLIB00000085538	decoy	0.0
Indole-3-carboxylic_acid	CCMSLIB00000085840	decoy	0.0
isopentenyl-Adenine-[d6]	CCMSLIB00000085400	decoy	0.0
Isopentenyl-Adenosine	CCMSLIB00000085335	decoy	0.0
Naringin	CCMSLIB00000079735	decoy	0.0
Rifampicin	CCMSLIB00000076971	decoy	0.0
Rotenone	CCMSLIB00000078819	decoy	0.0
Rutin	CCMSLIB00000079258	decoy	0.0
Tryptophan	CCMSLIB00000085202	decoy	0.0
Adenosine	CCMSLIB00000084979	decoy	0.0
L-Tryptophan	CCMSLIB00000085202	decoy	0.0
